REGION,CODIGO LOCALIDAD,CODIGO NODO,SITIO,TIPO DE NODO,MAC ADDRES
APURIMAC,-,,DC ACCESO,DATA CENTER,00-0A-19-CA-01-A7
APURIMAC,AP-0003,AP-0003-A01,ACCOPAMPA,TERMINAL,00-0A-19-CA-01-74
APURIMAC,AP-0004,AP-0004-A01,ACPITAN,TERMINAL,00-0A-19-C9-F4-78
APURIMAC,AP-0005,AP-0005-A01,ALAY PAMPA,INTERMEDIO,00-0A-19-CA-01-F6
APURIMAC,AP-0008,AP-0008-A01,ANCATIRA,TERMINAL,00-0A-19-CA-49-DB
APURIMAC,AP-0009,AP-0009-A01,ANCCOPACCHA,TERMINAL,OFFLINE
APURIMAC,AP-0010,AP-0010-A01,ANCHICHA,TERMINAL,00-0A-19-CA-4D-13
APURIMAC,AP-0011,AP-0011-A01,ANCOBAMBA,TERMINAL,00-0A-19-C9-A6-2C
APURIMAC,AP-0013,AP-0013-A01,ANDARAPA,DISTRITAL,00-0A-19-C9-BB-47
APURIMAC,AP-0015,AP-0015-A01,ANTAPAMPA,INTERMEDIO,00-0A-19-C9-AC-78
APURIMAC,AP-0016,AP-0016-A01,ANTAPUNCO,TERMINAL,00-0A-19-CA-4D-00
APURIMAC,AP-0017,AP-0017-A01,ANTASCO,TERMINAL,00-0A-19-CA-44-88
APURIMAC,AP-0018,AP-0018-A01,ANTILLA,INTERMEDIO,00-0A-19-C9-AE-9D
APURIMAC,AP-0020,AP-0020-A01,APUMARCA,INTERMEDIO,00-0A-19-CA-02-92
APURIMAC,AP-0022,AP-0022-A01,ARGAMA BAJA,INTERMEDIO,00-0A-19-CA-78-9E
APURIMAC,AP-0023,AP-0023-A01,ASACASI,TERMINAL,00-0A-19-C9-F4-A9
APURIMAC,AP-0024,AP-0024-A01,ASIL,TERMINAL,00-0A-19-C9-A7-C7
APURIMAC,AP-0025,AP-0025-A01,ATUMPATA,TERMINAL,00-0A-19-CA-02-14
APURIMAC,AP-0026,AP-0026-A01,AUQUIBAMBA,INTERMEDIO,00-0A-19-C9-AC-B8
APURIMAC,AP-0027,AP-0027-A01,AYAHUAY,DISTRITAL,00-0A-19-C9-BB-35
APURIMAC,AP-0029,AP-0029-A01,AYRIHUANCA,DISTRITAL,00-0A-19-C9-AE-27
APURIMAC,AP-0030,AP-0030-A01,BACAS,TERMINAL,00-0A-19-C9-AC-5B
APURIMAC,AP-0031,AP-0031-A01,BELEN ANTA,INTERMEDIO,00-0A-19-C9-AE-96
APURIMAC,AP-0032,AP-0032-A01,BELLAVISTA,TERMINAL,00-0A-19-CA-01-6A
APURIMAC,AP-0033,AP-0033-A01,BUENA VISTA,INTERMEDIO,00-0A-19-CA-4A-57
APURIMAC,AP-0034,AP-0034-A01,CACHORA,DISTRITAL,00-0A-19-C9-A5-6A
APURIMAC,AP-0035,AP-0035-A01,CALLEBAMBA,TERMINAL,00-0A-19-C9-AF-49
APURIMAC,AP-0036,AP-0036-A01,CAPAYA,DISTRITAL,00-0A-19-C9-AC-70
APURIMAC,AP-0037,AP-0037-A01,CARAYBAMBA,DISTRITAL,00-0A-19-C9-AD-9A
APURIMAC,AP-0038,AP-0038-A01,CASABAMBA,INTERMEDIO,00-0A-19-CA-4C-08
APURIMAC,AP-0040,AP-0040-A01,CAYARA,TERMINAL,00-0A-19-C9-A6-0C
APURIMAC,AP-0041,AP-0041-A01,CCALLASPUQUIO,TERMINAL,00-0A-19-C9-AC-AC
APURIMAC,AP-0042,AP-0042-A01,CCANCCAYLLO,INTERMEDIO,00-0A-19-CA-49-AD
APURIMAC,AP-0043,AP-0043-A01,CCANTUPATA,TERMINAL,00-0A-19-C9-AD-C3
APURIMAC,AP-0044,AP-0044-A01,CCAPCCA,TERMINAL,00-0A-19-C9-F5-26
APURIMAC,AP-0045,AP-0045-A01,CCASACANCHA,TERMINAL,00-0A-19-CA-02-3D
APURIMAC,AP-0046,AP-0046-A01,CCASANCCA,TERMINAL,00-0A-19-CA-4C-09
APURIMAC,AP-0047,AP-0047-A01,CCEÑUAHURAN,TERMINAL,00-0A-19-C9-AE-70
APURIMAC,AP-0048,AP-0048-A01,CCERABAMBA,TERMINAL,00-0A-19-C9-AD-0F
APURIMAC,AP-0049,AP-0049-A01,CCOCHA,TERMINAL,00-0A-19-C9-F5-0A
APURIMAC,AP-0050,AP-0050-A01,CCOCHAPATA,TERMINAL,00-0A-19-C9-F3-B6
APURIMAC,AP-0051,AP-0051-A01,CCOLLPA,TERMINAL,00-0A-19-CA-4A-21
APURIMAC,AP-0052,AP-0052-A01,CCOMPICANCHA,INTERMEDIO,00-0A-19-CA-77-F0
APURIMAC,AP-0053,AP-0053-A01,CHACAMACHAY,TERMINAL,00-0A-19-C9-F3-62
APURIMAC,AP-0054,AP-0054-A01,CHACAPUENTE,TERMINAL,00-0A-19-CA-01-7B
APURIMAC,AP-0055,AP-0055-A01,CHACCRAMPA,DISTRITAL,00-0A-19-C9-A8-7C
